Question,Answer,Category
In which week of year 1085 does the date 08-10-1085 occur?,Week 33,Week Identification
In which week of year 1609 does the date 09-21-1609 occur?,Week 39,Week Identification
In which week of year 1393 does the date 07-05-1393 occur?,Week 27,Week Identification
In which week of year 1027 does the date 01-08-1027 occur?,Week 2,Week Identification
In which week of year 1130 does the date 06-16-1130 occur?,Week 25,Week Identification
In which week of year 1444 does the date 09-17-1444 occur?,Week 38,Week Identification
In which week of year 1744 does the date 02-25-1744 occur?,Week 9,Week Identification
In which week of year 1385 does the date 07-28-1385 occur?,Week 30,Week Identification
In which week of year 1022 does the date 10-05-1022 occur?,Week 40,Week Identification
In which week of year 1215 does the date 05-30-1215 occur?,Week 22,Week Identification
In which week of year 1408 does the date 10-14-1408 occur?,Week 41,Week Identification
In which week of year 2009 does the date 07-17-2009 occur?,Week 29,Week Identification
In which week of year 1715 does the date 04-07-1715 occur?,Week 14,Week Identification
In which week of year 1525 does the date 07-29-1525 occur?,Week 31,Week Identification
In which week of year 1382 does the date 08-04-1382 occur?,Week 31,Week Identification
In which week of year 1092 does the date 06-16-1092 occur?,Week 24,Week Identification
In which week of year 1340 does the date 06-12-1340 occur?,Week 23,Week Identification
In which week of year 1080 does the date 08-26-1080 occur?,Week 35,Week Identification
In which week of year 1336 does the date 10-04-1336 occur?,Week 40,Week Identification
In which week of year 1539 does the date 02-23-1539 occur?,Week 8,Week Identification
In which week of year 1704 does the date 06-09-1704 occur?,Week 24,Week Identification
In which week of year 1556 does the date 12-04-1556 occur?,Week 49,Week Identification
In which week of year 1990 does the date 01-14-1990 occur?,Week 2,Week Identification
In which week of year 2011 does the date 12-21-2011 occur?,Week 51,Week Identification
In which week of year 1740 does the date 09-21-1740 occur?,Week 38,Week Identification
In which week of year 1149 does the date 06-11-1149 occur?,Week 23,Week Identification
In which week of year 1220 does the date 01-25-1220 occur?,Week 4,Week Identification
In which week of year 1634 does the date 09-06-1634 occur?,Week 36,Week Identification
In which week of year 1391 does the date 09-27-1391 occur?,Week 39,Week Identification
In which week of year 1786 does the date 10-05-1786 occur?,Week 40,Week Identification
In which week of year 1126 does the date 01-16-1126 occur?,Week 2,Week Identification
In which week of year 1213 does the date 11-27-1213 occur?,Week 48,Week Identification
In which week of year 1003 does the date 10-01-1003 occur?,Week 39,Week Identification
In which week of year 1415 does the date 01-12-1415 occur?,Week 2,Week Identification
In which week of year 1951 does the date 10-04-1951 occur?,Week 40,Week Identification
In which week of year 1438 does the date 08-09-1438 occur?,Week 32,Week Identification
In which week of year 1243 does the date 03-23-1243 occur?,Week 13,Week Identification
In which week of year 1332 does the date 01-24-1332 occur?,Week 4,Week Identification
In which week of year 1774 does the date 01-25-1774 occur?,Week 4,Week Identification
In which week of year 1589 does the date 01-23-1589 occur?,Week 4,Week Identification
In which week of year 1626 does the date 02-26-1626 occur?,Week 9,Week Identification
In which week of year 1171 does the date 04-06-1171 occur?,Week 14,Week Identification
In which week of year 1830 does the date 08-08-1830 occur?,Week 31,Week Identification
In which week of year 1541 does the date 01-23-1541 occur?,Week 4,Week Identification
In which week of year 1674 does the date 11-09-1674 occur?,Week 45,Week Identification
In which week of year 1421 does the date 07-29-1421 occur?,Week 30,Week Identification
In which week of year 1844 does the date 01-03-1844 occur?,Week 1,Week Identification
In which week of year 1441 does the date 01-02-1441 occur?,Week 53,Week Identification
In which week of year 1221 does the date 02-20-1221 occur?,Week 7,Week Identification
In which week of year 1759 does the date 04-30-1759 occur?,Week 18,Week Identification
In which week of year 1698 does the date 07-02-1698 occur?,Week 27,Week Identification
In which week of year 2018 does the date 07-06-2018 occur?,Week 27,Week Identification
In which week of year 1094 does the date 12-21-1094 occur?,Week 51,Week Identification
In which week of year 1023 does the date 05-27-1023 occur?,Week 22,Week Identification
In which week of year 1258 does the date 07-30-1258 occur?,Week 31,Week Identification
In which week of year 1178 does the date 10-13-1178 occur?,Week 41,Week Identification
In which week of year 1345 does the date 03-13-1345 occur?,Week 10,Week Identification
In which week of year 1364 does the date 05-26-1364 occur?,Week 21,Week Identification
In which week of year 1028 does the date 10-07-1028 occur?,Week 41,Week Identification
In which week of year 1703 does the date 12-10-1703 occur?,Week 50,Week Identification
In which week of year 1523 does the date 07-30-1523 occur?,Week 31,Week Identification
In which week of year 1007 does the date 08-14-1007 occur?,Week 33,Week Identification
In which week of year 1402 does the date 02-13-1402 occur?,Week 6,Week Identification
In which week of year 1841 does the date 12-22-1841 occur?,Week 51,Week Identification
In which week of year 1618 does the date 06-15-1618 occur?,Week 24,Week Identification
In which week of year 1455 does the date 05-11-1455 occur?,Week 19,Week Identification
In which week of year 1619 does the date 08-02-1619 occur?,Week 31,Week Identification
In which week of year 1129 does the date 09-15-1129 occur?,Week 37,Week Identification
In which week of year 1606 does the date 09-14-1606 occur?,Week 37,Week Identification
In which week of year 1139 does the date 10-15-1139 occur?,Week 41,Week Identification
In which week of year 1288 does the date 02-04-1288 occur?,Week 6,Week Identification
In which week of year 1268 does the date 07-20-1268 occur?,Week 29,Week Identification
In which week of year 1336 does the date 09-28-1336 occur?,Week 39,Week Identification
In which week of year 1008 does the date 02-15-1008 occur?,Week 7,Week Identification
In which week of year 1845 does the date 02-20-1845 occur?,Week 8,Week Identification
In which week of year 1506 does the date 03-31-1506 occur?,Week 13,Week Identification
In which week of year 1623 does the date 02-24-1623 occur?,Week 8,Week Identification
In which week of year 1919 does the date 09-05-1919 occur?,Week 36,Week Identification
In which week of year 1651 does the date 05-25-1651 occur?,Week 21,Week Identification
In which week of year 1687 does the date 04-28-1687 occur?,Week 18,Week Identification
In which week of year 1390 does the date 04-18-1390 occur?,Week 15,Week Identification
In which week of year 1098 does the date 07-16-1098 occur?,Week 28,Week Identification
In which week of year 1630 does the date 06-08-1630 occur?,Week 23,Week Identification
In which week of year 1877 does the date 08-31-1877 occur?,Week 35,Week Identification
In which week of year 1320 does the date 06-28-1320 occur?,Week 26,Week Identification
In which week of year 1020 does the date 07-03-1020 occur?,Week 27,Week Identification
In which week of year 1200 does the date 10-05-1200 occur?,Week 40,Week Identification
In which week of year 1389 does the date 07-19-1389 occur?,Week 29,Week Identification
In which week of year 1224 does the date 11-14-1224 occur?,Week 46,Week Identification
In which week of year 1719 does the date 06-11-1719 occur?,Week 23,Week Identification
In which week of year 1891 does the date 04-07-1891 occur?,Week 15,Week Identification
In which week of year 1724 does the date 01-28-1724 occur?,Week 4,Week Identification
In which week of year 1618 does the date 09-09-1618 occur?,Week 36,Week Identification
In which week of year 1822 does the date 05-15-1822 occur?,Week 20,Week Identification
In which week of year 1755 does the date 04-18-1755 occur?,Week 16,Week Identification
In which week of year 1835 does the date 08-29-1835 occur?,Week 35,Week Identification
In which week of year 1048 does the date 01-19-1048 occur?,Week 3,Week Identification
In which week of year 1315 does the date 01-17-1315 occur?,Week 3,Week Identification
In which week of year 1253 does the date 02-06-1253 occur?,Week 6,Week Identification
In which week of year 1442 does the date 09-21-1442 occur?,Week 38,Week Identification
In which week of year 1903 does the date 09-20-1903 occur?,Week 38,Week Identification
In which week of year 1326 does the date 01-30-1326 occur?,Week 5,Week Identification
In which week of year 1030 does the date 05-05-1030 occur?,Week 18,Week Identification
In which week of year 1895 does the date 01-29-1895 occur?,Week 5,Week Identification
In which week of year 1130 does the date 05-01-1130 occur?,Week 18,Week Identification
In which week of year 1909 does the date 10-11-1909 occur?,Week 41,Week Identification
In which week of year 1763 does the date 05-01-1763 occur?,Week 17,Week Identification
In which week of year 1768 does the date 11-17-1768 occur?,Week 46,Week Identification
In which week of year 1422 does the date 10-11-1422 occur?,Week 41,Week Identification
In which week of year 1205 does the date 10-03-1205 occur?,Week 40,Week Identification
In which week of year 1781 does the date 11-08-1781 occur?,Week 45,Week Identification
In which week of year 2007 does the date 10-12-2007 occur?,Week 41,Week Identification
In which week of year 2016 does the date 05-18-2016 occur?,Week 20,Week Identification
In which week of year 1044 does the date 09-02-1044 occur?,Week 36,Week Identification
In which week of year 1286 does the date 06-28-1286 occur?,Week 26,Week Identification
In which week of year 1972 does the date 02-25-1972 occur?,Week 8,Week Identification
In which week of year 1597 does the date 12-11-1597 occur?,Week 50,Week Identification
In which week of year 1141 does the date 06-03-1141 occur?,Week 23,Week Identification
In which week of year 1342 does the date 11-16-1342 occur?,Week 46,Week Identification
In which week of year 1041 does the date 07-25-1041 occur?,Week 29,Week Identification
In which week of year 1314 does the date 03-24-1314 occur?,Week 12,Week Identification
In which week of year 2017 does the date 03-05-2017 occur?,Week 9,Week Identification
In which week of year 1734 does the date 03-25-1734 occur?,Week 12,Week Identification
In which week of year 1477 does the date 04-23-1477 occur?,Week 17,Week Identification
In which week of year 1407 does the date 12-18-1407 occur?,Week 51,Week Identification
In which week of year 1407 does the date 09-29-1407 occur?,Week 40,Week Identification
In which week of year 1509 does the date 03-20-1509 occur?,Week 11,Week Identification
In which week of year 1342 does the date 06-17-1342 occur?,Week 24,Week Identification
In which week of year 1961 does the date 04-11-1961 occur?,Week 15,Week Identification
In which week of year 1551 does the date 12-16-1551 occur?,Week 50,Week Identification
In which week of year 1286 does the date 09-15-1286 occur?,Week 37,Week Identification
In which week of year 1615 does the date 10-22-1615 occur?,Week 43,Week Identification
In which week of year 2009 does the date 04-21-2009 occur?,Week 17,Week Identification
In which week of year 1816 does the date 11-27-1816 occur?,Week 48,Week Identification
In which week of year 1927 does the date 03-20-1927 occur?,Week 11,Week Identification
In which week of year 1089 does the date 01-21-1089 occur?,Week 4,Week Identification
In which week of year 1780 does the date 02-16-1780 occur?,Week 7,Week Identification
In which week of year 1488 does the date 09-09-1488 occur?,Week 36,Week Identification
In which week of year 1534 does the date 09-26-1534 occur?,Week 39,Week Identification
In which week of year 1664 does the date 06-29-1664 occur?,Week 26,Week Identification
In which week of year 1837 does the date 05-01-1837 occur?,Week 18,Week Identification
In which week of year 1995 does the date 09-27-1995 occur?,Week 39,Week Identification
In which week of year 1697 does the date 11-11-1697 occur?,Week 46,Week Identification
In which week of year 1741 does the date 06-06-1741 occur?,Week 23,Week Identification
In which week of year 1277 does the date 04-18-1277 occur?,Week 15,Week Identification
In which week of year 1836 does the date 08-10-1836 occur?,Week 32,Week Identification
In which week of year 1865 does the date 06-18-1865 occur?,Week 24,Week Identification
In which week of year 1252 does the date 10-24-1252 occur?,Week 43,Week Identification
In which week of year 1257 does the date 12-13-1257 occur?,Week 50,Week Identification
In which week of year 1823 does the date 08-19-1823 occur?,Week 34,Week Identification
In which week of year 1083 does the date 08-22-1083 occur?,Week 34,Week Identification
In which week of year 1788 does the date 03-14-1788 occur?,Week 11,Week Identification
In which week of year 1977 does the date 03-03-1977 occur?,Week 9,Week Identification
In which week of year 1892 does the date 01-25-1892 occur?,Week 4,Week Identification
In which week of year 1308 does the date 11-30-1308 occur?,Week 48,Week Identification
In which week of year 1979 does the date 02-16-1979 occur?,Week 7,Week Identification
In which week of year 1627 does the date 10-13-1627 occur?,Week 41,Week Identification
In which week of year 1860 does the date 03-05-1860 occur?,Week 10,Week Identification
In which week of year 1978 does the date 11-14-1978 occur?,Week 46,Week Identification
In which week of year 1760 does the date 03-11-1760 occur?,Week 11,Week Identification
In which week of year 1621 does the date 11-14-1621 occur?,Week 45,Week Identification
In which week of year 1632 does the date 05-10-1632 occur?,Week 20,Week Identification
In which week of year 1970 does the date 02-20-1970 occur?,Week 8,Week Identification
In which week of year 1351 does the date 09-27-1351 occur?,Week 39,Week Identification
In which week of year 1485 does the date 05-15-1485 occur?,Week 20,Week Identification
In which week of year 1276 does the date 04-15-1276 occur?,Week 16,Week Identification
In which week of year 1612 does the date 12-26-1612 occur?,Week 52,Week Identification
In which week of year 1736 does the date 08-26-1736 occur?,Week 34,Week Identification
In which week of year 1914 does the date 12-18-1914 occur?,Week 51,Week Identification
In which week of year 2003 does the date 12-21-2003 occur?,Week 51,Week Identification
In which week of year 1467 does the date 03-16-1467 occur?,Week 11,Week Identification
In which week of year 1529 does the date 12-15-1529 occur?,Week 50,Week Identification
In which week of year 1448 does the date 12-24-1448 occur?,Week 51,Week Identification
In which week of year 1355 does the date 04-27-1355 occur?,Week 17,Week Identification
In which week of year 1094 does the date 11-14-1094 occur?,Week 46,Week Identification
In which week of year 1076 does the date 05-16-1076 occur?,Week 20,Week Identification
In which week of year 1479 does the date 08-23-1479 occur?,Week 34,Week Identification
In which week of year 1406 does the date 05-31-1406 occur?,Week 22,Week Identification
In which week of year 1059 does the date 02-01-1059 occur?,Week 5,Week Identification
In which week of year 1333 does the date 11-29-1333 occur?,Week 48,Week Identification
In which week of year 1320 does the date 09-04-1320 occur?,Week 36,Week Identification
In which week of year 1600 does the date 09-02-1600 occur?,Week 35,Week Identification
In which week of year 1962 does the date 10-20-1962 occur?,Week 42,Week Identification
In which week of year 1515 does the date 10-13-1515 occur?,Week 41,Week Identification
In which week of year 1464 does the date 03-01-1464 occur?,Week 9,Week Identification
In which week of year 1212 does the date 02-23-1212 occur?,Week 8,Week Identification
In which week of year 1270 does the date 10-28-1270 occur?,Week 44,Week Identification
In which week of year 1995 does the date 11-12-1995 occur?,Week 45,Week Identification
In which week of year 1339 does the date 08-01-1339 occur?,Week 31,Week Identification
In which week of year 1828 does the date 01-01-1828 occur?,Week 1,Week Identification
In which week of year 1570 does the date 04-07-1570 occur?,Week 15,Week Identification
In which week of year 1101 does the date 10-14-1101 occur?,Week 42,Week Identification
In which week of year 1323 does the date 03-15-1323 occur?,Week 11,Week Identification
In which week of year 1165 does the date 12-02-1165 occur?,Week 48,Week Identification
In which week of year 1334 does the date 07-14-1334 occur?,Week 28,Week Identification
In which week of year 1174 does the date 03-22-1174 occur?,Week 12,Week Identification
In which week of year 1659 does the date 02-15-1659 occur?,Week 7,Week Identification
In which week of year 1148 does the date 07-03-1148 occur?,Week 27,Week Identification
In which week of year 1984 does the date 09-14-1984 occur?,Week 37,Week Identification
In which week of year 1684 does the date 01-16-1684 occur?,Week 2,Week Identification
In which week of year 1204 does the date 09-29-1204 occur?,Week 40,Week Identification
In which week of year 1285 does the date 10-16-1285 occur?,Week 42,Week Identification
In which week of year 1896 does the date 03-21-1896 occur?,Week 12,Week Identification
In which week of year 1119 does the date 10-23-1119 occur?,Week 43,Week Identification
In which week of year 1551 does the date 07-06-1551 occur?,Week 27,Week Identification
In which week of year 1996 does the date 05-26-1996 occur?,Week 21,Week Identification
In which week of year 1716 does the date 12-26-1716 occur?,Week 52,Week Identification
In which week of year 1021 does the date 11-23-1021 occur?,Week 47,Week Identification
In which week of year 1329 does the date 10-11-1329 occur?,Week 41,Week Identification
In which week of year 1395 does the date 02-17-1395 occur?,Week 8,Week Identification
In which week of year 1689 does the date 09-26-1689 occur?,Week 39,Week Identification
In which week of year 1957 does the date 07-02-1957 occur?,Week 27,Week Identification
In which week of year 1935 does the date 09-19-1935 occur?,Week 38,Week Identification
In which week of year 1664 does the date 03-03-1664 occur?,Week 10,Week Identification
In which week of year 2010 does the date 03-08-2010 occur?,Week 10,Week Identification
In which week of year 1978 does the date 06-30-1978 occur?,Week 26,Week Identification
In which week of year 1003 does the date 06-17-1003 occur?,Week 24,Week Identification
In which week of year 1560 does the date 09-09-1560 occur?,Week 36,Week Identification
In which week of year 1170 does the date 02-05-1170 occur?,Week 6,Week Identification
In which week of year 1281 does the date 07-11-1281 occur?,Week 28,Week Identification
In which week of year 1547 does the date 04-20-1547 occur?,Week 16,Week Identification
In which week of year 1507 does the date 06-02-1507 occur?,Week 22,Week Identification
In which week of year 1086 does the date 01-09-1086 occur?,Week 1,Week Identification
In which week of year 1770 does the date 05-09-1770 occur?,Week 19,Week Identification
In which week of year 1137 does the date 02-13-1137 occur?,Week 6,Week Identification
In which week of year 1855 does the date 02-21-1855 occur?,Week 8,Week Identification
In which week of year 1580 does the date 03-25-1580 occur?,Week 13,Week Identification
In which week of year 1348 does the date 04-14-1348 occur?,Week 15,Week Identification
In which week of year 1142 does the date 12-16-1142 occur?,Week 51,Week Identification
In which week of year 1235 does the date 06-02-1235 occur?,Week 22,Week Identification
In which week of year 1673 does the date 05-01-1673 occur?,Week 18,Week Identification
In which week of year 1263 does the date 02-02-1263 occur?,Week 5,Week Identification
In which week of year 1875 does the date 01-20-1875 occur?,Week 3,Week Identification
In which week of year 1117 does the date 09-28-1117 occur?,Week 39,Week Identification
In which week of year 1774 does the date 10-14-1774 occur?,Week 41,Week Identification
In which week of year 1539 does the date 01-29-1539 occur?,Week 4,Week Identification
In which week of year 1056 does the date 01-25-1056 occur?,Week 4,Week Identification
In which week of year 1313 does the date 04-19-1313 occur?,Week 16,Week Identification
In which week of year 1775 does the date 07-23-1775 occur?,Week 29,Week Identification
In which week of year 1459 does the date 06-22-1459 occur?,Week 25,Week Identification
In which week of year 1285 does the date 12-28-1285 occur?,Week 52,Week Identification
In which week of year 1133 does the date 05-24-1133 occur?,Week 21,Week Identification
In which week of year 1605 does the date 11-30-1605 occur?,Week 48,Week Identification
In which week of year 1686 does the date 11-26-1686 occur?,Week 48,Week Identification
In which week of year 1264 does the date 01-31-1264 occur?,Week 5,Week Identification
In which week of year 1684 does the date 01-30-1684 occur?,Week 4,Week Identification
In which week of year 1421 does the date 03-22-1421 occur?,Week 12,Week Identification
In which week of year 1473 does the date 10-21-1473 occur?,Week 43,Week Identification
In which week of year 1750 does the date 02-01-1750 occur?,Week 5,Week Identification
In which week of year 1177 does the date 08-10-1177 occur?,Week 32,Week Identification
In which week of year 1672 does the date 08-07-1672 occur?,Week 31,Week Identification
In which week of year 1435 does the date 08-25-1435 occur?,Week 35,Week Identification
In which week of year 1378 does the date 10-20-1378 occur?,Week 43,Week Identification
In which week of year 1567 does the date 06-08-1567 occur?,Week 23,Week Identification
In which week of year 1534 does the date 07-09-1534 occur?,Week 28,Week Identification
In which week of year 1407 does the date 02-28-1407 occur?,Week 9,Week Identification
In which week of year 1749 does the date 10-15-1749 occur?,Week 42,Week Identification
In which week of year 1198 does the date 05-19-1198 occur?,Week 21,Week Identification
In which week of year 1199 does the date 02-05-1199 occur?,Week 5,Week Identification
In which week of year 1146 does the date 07-14-1146 occur?,Week 28,Week Identification
In which week of year 1351 does the date 09-22-1351 occur?,Week 38,Week Identification
In which week of year 2002 does the date 08-07-2002 occur?,Week 32,Week Identification
In which week of year 1975 does the date 12-26-1975 occur?,Week 52,Week Identification
In which week of year 1009 does the date 05-30-1009 occur?,Week 22,Week Identification
In which week of year 1385 does the date 10-27-1385 occur?,Week 43,Week Identification
In which week of year 1676 does the date 11-11-1676 occur?,Week 46,Week Identification
In which week of year 1059 does the date 07-25-1059 occur?,Week 30,Week Identification
In which week of year 1113 does the date 10-16-1113 occur?,Week 42,Week Identification
In which week of year 1839 does the date 04-15-1839 occur?,Week 16,Week Identification
In which week of year 1663 does the date 07-28-1663 occur?,Week 30,Week Identification
In which week of year 1956 does the date 09-03-1956 occur?,Week 36,Week Identification
In which week of year 1984 does the date 02-06-1984 occur?,Week 6,Week Identification
In which week of year 1473 does the date 07-25-1473 occur?,Week 30,Week Identification
In which week of year 1277 does the date 05-27-1277 occur?,Week 21,Week Identification
In which week of year 1132 does the date 11-13-1132 occur?,Week 45,Week Identification
In which week of year 1458 does the date 03-15-1458 occur?,Week 11,Week Identification
In which week of year 1314 does the date 09-06-1314 occur?,Week 36,Week Identification
In which week of year 1828 does the date 11-09-1828 occur?,Week 45,Week Identification
In which week of year 1361 does the date 07-31-1361 occur?,Week 31,Week Identification
In which week of year 1360 does the date 07-18-1360 occur?,Week 29,Week Identification
In which week of year 1792 does the date 04-12-1792 occur?,Week 15,Week Identification
In which week of year 1937 does the date 03-18-1937 occur?,Week 11,Week Identification
In which week of year 1499 does the date 11-30-1499 occur?,Week 48,Week Identification
In which week of year 1416 does the date 02-08-1416 occur?,Week 6,Week Identification
In which week of year 1372 does the date 07-15-1372 occur?,Week 29,Week Identification
In which week of year 1069 does the date 12-09-1069 occur?,Week 49,Week Identification
In which week of year 1148 does the date 06-26-1148 occur?,Week 26,Week Identification
In which week of year 1321 does the date 07-30-1321 occur?,Week 31,Week Identification
In which week of year 1699 does the date 05-02-1699 occur?,Week 18,Week Identification
In which week of year 1649 does the date 01-04-1649 occur?,Week 1,Week Identification
In which week of year 1411 does the date 09-27-1411 occur?,Week 39,Week Identification
In which week of year 1897 does the date 01-28-1897 occur?,Week 4,Week Identification
In which week of year 1971 does the date 09-04-1971 occur?,Week 35,Week Identification
In which week of year 2011 does the date 12-09-2011 occur?,Week 49,Week Identification
In which week of year 1088 does the date 10-26-1088 occur?,Week 43,Week Identification
In which week of year 1566 does the date 03-11-1566 occur?,Week 10,Week Identification
In which week of year 1516 does the date 11-30-1516 occur?,Week 48,Week Identification
In which week of year 1105 does the date 09-20-1105 occur?,Week 38,Week Identification
In which week of year 1507 does the date 06-06-1507 occur?,Week 23,Week Identification
In which week of year 1516 does the date 10-27-1516 occur?,Week 43,Week Identification
In which week of year 2017 does the date 08-24-2017 occur?,Week 34,Week Identification
In which week of year 1271 does the date 06-01-1271 occur?,Week 23,Week Identification
In which week of year 1936 does the date 07-06-1936 occur?,Week 28,Week Identification
In which week of year 1818 does the date 12-25-1818 occur?,Week 52,Week Identification
In which week of year 1910 does the date 09-19-1910 occur?,Week 38,Week Identification
In which week of year 1005 does the date 11-20-1005 occur?,Week 47,Week Identification
In which week of year 1697 does the date 07-08-1697 occur?,Week 28,Week Identification
In which week of year 1257 does the date 12-15-1257 occur?,Week 50,Week Identification
In which week of year 1818 does the date 05-26-1818 occur?,Week 22,Week Identification
In which week of year 1642 does the date 07-21-1642 occur?,Week 30,Week Identification
In which week of year 1476 does the date 09-16-1476 occur?,Week 37,Week Identification
In which week of year 1163 does the date 09-26-1163 occur?,Week 39,Week Identification
In which week of year 1266 does the date 07-04-1266 occur?,Week 26,Week Identification
In which week of year 1580 does the date 06-03-1580 occur?,Week 23,Week Identification
In which week of year 1388 does the date 11-12-1388 occur?,Week 46,Week Identification
In which week of year 1036 does the date 10-15-1036 occur?,Week 41,Week Identification
In which week of year 2009 does the date 01-14-2009 occur?,Week 3,Week Identification
In which week of year 1552 does the date 05-17-1552 occur?,Week 20,Week Identification
In which week of year 1335 does the date 02-11-1335 occur?,Week 6,Week Identification
In which week of year 1420 does the date 02-14-1420 occur?,Week 7,Week Identification
In which week of year 1751 does the date 10-28-1751 occur?,Week 43,Week Identification
In which week of year 1959 does the date 01-23-1959 occur?,Week 4,Week Identification
In which week of year 1769 does the date 06-29-1769 occur?,Week 26,Week Identification
In which week of year 1205 does the date 09-18-1205 occur?,Week 37,Week Identification
In which week of year 1763 does the date 02-01-1763 occur?,Week 5,Week Identification
In which week of year 1445 does the date 05-13-1445 occur?,Week 20,Week Identification
In which week of year 1616 does the date 07-15-1616 occur?,Week 28,Week Identification
In which week of year 1814 does the date 02-08-1814 occur?,Week 6,Week Identification
In which week of year 1470 does the date 12-14-1470 occur?,Week 50,Week Identification
In which week of year 1373 does the date 04-19-1373 occur?,Week 16,Week Identification
In which week of year 1262 does the date 05-16-1262 occur?,Week 20,Week Identification
In which week of year 1377 does the date 06-05-1377 occur?,Week 23,Week Identification
In which week of year 1114 does the date 12-27-1114 occur?,Week 52,Week Identification
In which week of year 1544 does the date 01-31-1544 occur?,Week 5,Week Identification
In which week of year 1570 does the date 05-03-1570 occur?,Week 18,Week Identification
In which week of year 1174 does the date 02-26-1174 occur?,Week 9,Week Identification
In which week of year 1496 does the date 05-21-1496 occur?,Week 21,Week Identification
In which week of year 1604 does the date 05-24-1604 occur?,Week 22,Week Identification
In which week of year 1557 does the date 02-23-1557 occur?,Week 8,Week Identification
In which week of year 1039 does the date 08-20-1039 occur?,Week 34,Week Identification
In which week of year 1252 does the date 01-30-1252 occur?,Week 5,Week Identification
In which week of year 1532 does the date 11-11-1532 occur?,Week 45,Week Identification
In which week of year 1472 does the date 01-31-1472 occur?,Week 5,Week Identification
In which week of year 1856 does the date 05-16-1856 occur?,Week 20,Week Identification
In which week of year 1924 does the date 02-06-1924 occur?,Week 6,Week Identification
In which week of year 1199 does the date 12-02-1199 occur?,Week 48,Week Identification
In which week of year 1076 does the date 01-28-1076 occur?,Week 4,Week Identification
In which week of year 1752 does the date 07-02-1752 occur?,Week 26,Week Identification
In which week of year 1686 does the date 03-13-1686 occur?,Week 11,Week Identification
In which week of year 1329 does the date 06-27-1329 occur?,Week 26,Week Identification
In which week of year 1405 does the date 10-29-1405 occur?,Week 44,Week Identification
In which week of year 1391 does the date 05-03-1391 occur?,Week 18,Week Identification
In which week of year 1096 does the date 02-26-1096 occur?,Week 9,Week Identification
In which week of year 1763 does the date 08-21-1763 occur?,Week 33,Week Identification
In which week of year 1516 does the date 08-12-1516 occur?,Week 32,Week Identification
In which week of year 1397 does the date 02-23-1397 occur?,Week 8,Week Identification
In which week of year 1726 does the date 05-01-1726 occur?,Week 18,Week Identification
In which week of year 1356 does the date 08-28-1356 occur?,Week 35,Week Identification
In which week of year 1418 does the date 10-31-1418 occur?,Week 44,Week Identification
In which week of year 1383 does the date 10-08-1383 occur?,Week 41,Week Identification
In which week of year 1355 does the date 02-11-1355 occur?,Week 7,Week Identification
In which week of year 1668 does the date 07-06-1668 occur?,Week 27,Week Identification
In which week of year 1047 does the date 01-03-1047 occur?,Week 53,Week Identification
In which week of year 1707 does the date 03-13-1707 occur?,Week 10,Week Identification
In which week of year 1167 does the date 04-11-1167 occur?,Week 15,Week Identification
In which week of year 1084 does the date 02-22-1084 occur?,Week 8,Week Identification
In which week of year 1104 does the date 01-30-1104 occur?,Week 4,Week Identification
In which week of year 1987 does the date 03-29-1987 occur?,Week 13,Week Identification
In which week of year 1129 does the date 07-27-1129 occur?,Week 30,Week Identification
In which week of year 1008 does the date 09-05-1008 occur?,Week 36,Week Identification
In which week of year 1665 does the date 08-29-1665 occur?,Week 35,Week Identification
In which week of year 1845 does the date 06-17-1845 occur?,Week 25,Week Identification
In which week of year 1039 does the date 09-04-1039 occur?,Week 36,Week Identification
In which week of year 1089 does the date 04-28-1089 occur?,Week 17,Week Identification
In which week of year 1757 does the date 01-21-1757 occur?,Week 3,Week Identification
In which week of year 1485 does the date 09-07-1485 occur?,Week 37,Week Identification
In which week of year 2008 does the date 05-26-2008 occur?,Week 22,Week Identification
In which week of year 1888 does the date 07-05-1888 occur?,Week 27,Week Identification
In which week of year 1235 does the date 08-11-1235 occur?,Week 32,Week Identification
In which week of year 1191 does the date 04-01-1191 occur?,Week 14,Week Identification
In which week of year 1544 does the date 11-28-1544 occur?,Week 48,Week Identification
In which week of year 1948 does the date 03-08-1948 occur?,Week 11,Week Identification
In which week of year 1604 does the date 10-07-1604 occur?,Week 41,Week Identification
In which week of year 1541 does the date 01-29-1541 occur?,Week 5,Week Identification
In which week of year 1433 does the date 05-27-1433 occur?,Week 22,Week Identification
In which week of year 1317 does the date 07-13-1317 occur?,Week 28,Week Identification
In which week of year 1694 does the date 12-06-1694 occur?,Week 49,Week Identification
In which week of year 1573 does the date 01-16-1573 occur?,Week 3,Week Identification
In which week of year 1079 does the date 02-15-1079 occur?,Week 7,Week Identification
In which week of year 1952 does the date 02-07-1952 occur?,Week 6,Week Identification
In which week of year 1118 does the date 01-02-1118 occur?,Week 1,Week Identification
In which week of year 1501 does the date 12-14-1501 occur?,Week 50,Week Identification
In which week of year 1381 does the date 01-05-1381 occur?,Week 1,Week Identification
In which week of year 1658 does the date 11-11-1658 occur?,Week 46,Week Identification
In which week of year 1541 does the date 08-06-1541 occur?,Week 32,Week Identification
In which week of year 1468 does the date 07-06-1468 occur?,Week 28,Week Identification
In which week of year 1586 does the date 06-21-1586 occur?,Week 25,Week Identification
In which week of year 1525 does the date 06-14-1525 occur?,Week 24,Week Identification
In which week of year 1321 does the date 12-27-1321 occur?,Week 52,Week Identification
