Question,Option A,Option B,Option C,Option D,Answer,Category
"If you subtract 19 weeks and 3 days to the date 04-06-1361, what will be the new date?",11-21-1360,11-27-1360,11-22-1360,11-26-1360,A,Date Computation
"If you add 29 weeks and 6 days to the date 04-25-1238, what will be the new date?",11-27-1238,11-23-1238,11-20-1238,11-26-1238,C,Date Computation
"If you subtract 25 weeks and 1 day to the date 02-22-1628, what will be the new date?",09-02-1627,08-30-1627,09-04-1627,08-31-1627,B,Date Computation
"If you subtract 14 weeks and 1 day to the date 07-07-1578, what will be the new date?",03-31-1578,04-01-1578,04-06-1578,03-30-1578,D,Date Computation
"If you add 40 weeks and 5 days to the date 04-28-1968, what will be the new date?",2/10/1969,2/9/1969,2/7/1969,2/11/1969,C,Date Computation
"If you add 26 weeks and 5 days to the date 08-03-1417, what will be the new date?",02-07-1418,02-09-1418,02-13-1418,02-06-1418,D,Date Computation
"If you add 19 weeks and 6 days to the date 02-15-1650, what will be the new date?",07-04-1650,07-05-1650,07-10-1650,07-08-1650,A,Date Computation
"If you subtract 41 weeks and 3 days to the date 08-01-1898, what will be the new date?",10-15-1897,10-16-1897,10-22-1897,10-21-1897,A,Date Computation
"If you add 37 weeks and 6 days to the date 02-26-1714, what will be the new date?",11-25-1714,11-18-1714,11-24-1714,11-20-1714,B,Date Computation
"If you add 11 weeks and 6 days to the date 12-25-1455, what will be the new date?",03-17-1456,03-19-1456,03-20-1456,03-24-1456,A,Date Computation
"If you add 36 weeks and 6 days to the date 01-09-1928, what will be the new date?",9/24/1928,9/27/1928,9/30/1928,9/23/1928,D,Date Computation
"If you add 23 weeks and 3 days to the date 03-30-1324, what will be the new date?",09-14-1324,09-10-1324,09-12-1324,09-16-1324,B,Date Computation
"If you add 7 weeks and 2 days to the date 11-26-1784, what will be the new date?",01-19-1785,01-16-1785,01-21-1785,01-18-1785,B,Date Computation
"If you add 1 weeks and 5 days to the date 12-25-1786, what will be the new date?",01-07-1787,01-12-1787,01-10-1787,01-06-1787,D,Date Computation
"If you add 21 weeks and 6 days to the date 09-18-1722, what will be the new date?",02-22-1723,02-24-1723,02-25-1723,02-18-1723,D,Date Computation
"If you add 7 weeks and 7 days to the date 11-24-1583, what will be the new date?",01-23-1584,01-21-1584,01-19-1584,01-24-1584,C,Date Computation
"If you subtract 1 weeks and 5 days to the date 01-25-1893, what will be the new date?",01-18-1893,01-20-1893,01-14-1893,01-13-1893,D,Date Computation
"If you add 10 weeks and 1 day to the date 08-01-1459, what will be the new date?",10-13-1459,10-11-1459,10-18-1459,10-14-1459,B,Date Computation
"If you subtract 11 weeks and 5 days to the date 11-23-1292, what will be the new date?",09-02-1292,09-07-1292,09-09-1292,09-06-1292,A,Date Computation
"If you add 46 weeks and 3 days to the date 12-12-2022, what will be the new date?",11/6/2023,11/2/2023,11/4/2023,11/7/2023,B,Date Computation
"If you subtract 8 weeks and 2 days to the date 02-18-1377, what will be the new date?",12-22-1376,12-25-1376,12-24-1376,12-23-1376,A,Date Computation
"If you add 33 weeks and 2 days to the date 09-12-1103, what will be the new date?",05-02-1104,05-06-1104,05-05-1104,05-07-1104,A,Date Computation
"If you subtract 28 weeks and 7 days to the date 06-28-1631, what will be the new date?",12-12-1630,12-11-1630,12-07-1630,12-09-1630,C,Date Computation
"If you add 3 weeks and 4 days to the date 12-10-1968, what will be the new date?",1/4/1969,1/11/1969,1/8/1969,1/9/1969,A,Date Computation
"If you add 46 weeks and 3 days to the date 10-07-1358, what will be the new date?",09-01-1359,08-29-1359,08-28-1359,08-30-1359,C,Date Computation
"If you subtract 38 weeks and 1 day to the date 11-23-1648, what will be the new date?",03-06-1648,03-01-1648,03-03-1648,03-05-1648,B,Date Computation
"If you add 33 weeks and 1 day to the date 03-28-1790, what will be the new date?",11-22-1790,11-15-1790,11-16-1790,11-21-1790,B,Date Computation
"If you subtract 12 weeks and 7 days to the date 03-05-1213, what will be the new date?",12-08-1212,12-04-1212,12-09-1212,12-07-1212,B,Date Computation
"If you subtract 30 weeks and 1 day to the date 01-23-1607, what will be the new date?",06-26-1606,06-27-1606,06-30-1606,06-29-1606,A,Date Computation
"If you add 1 weeks and 7 days to the date 03-31-1665, what will be the new date?",04-14-1665,04-19-1665,04-16-1665,04-15-1665,A,Date Computation
"If you subtract 42 weeks and 2 days to the date 10-21-1253, what will be the new date?",12-31-1252,01-03-1253,12-30-1252,12-29-1252,D,Date Computation
"If you add 43 weeks and 3 days to the date 05-13-1165, what will be the new date?",03-15-1166,03-20-1166,03-13-1166,03-14-1166,C,Date Computation
"If you add 1 weeks and 3 days to the date 11-12-1332, what will be the new date?",11-22-1332,11-23-1332,11-25-1332,11-26-1332,A,Date Computation
"If you add 23 weeks and 2 days to the date 12-19-1515, what will be the new date?",06-01-1516,05-31-1516,06-05-1516,05-30-1516,D,Date Computation
"If you subtract 30 weeks and 1 day to the date 06-11-1548, what will be the new date?",11-18-1547,11-13-1547,11-14-1547,11-15-1547,B,Date Computation
"If you add 4 weeks and 5 days to the date 09-10-1240, what will be the new date?",10-13-1240,10-15-1240,10-17-1240,10-16-1240,A,Date Computation
"If you subtract 32 weeks and 5 days to the date 10-27-1293, what will be the new date?",03-19-1293,03-17-1293,03-13-1293,03-12-1293,D,Date Computation
"If you add 1 weeks and 5 days to the date 01-17-1913, what will be the new date?",2/3/1913,1/29/1913,2/5/1913,2/1/1913,B,Date Computation
"If you add 15 weeks and 4 days to the date 09-12-1985, what will be the new date?",12/30/1985,12/31/1985,1/1/1986,1/4/1986,A,Date Computation
"If you subtract 43 weeks and 2 days to the date 07-25-1732, what will be the new date?",09-26-1731,09-27-1731,09-30-1731,09-28-1731,A,Date Computation
"If you add 17 weeks and 2 days to the date 12-27-1148, what will be the new date?",05-01-1149,04-27-1149,05-02-1149,05-03-1149,B,Date Computation
"If you subtract 43 weeks and 2 days to the date 11-03-1673, what will be the new date?",01-05-1673,01-11-1673,01-04-1673,01-08-1673,C,Date Computation
"If you subtract 45 weeks and 3 days to the date 04-13-1344, what will be the new date?",06-06-1343,06-02-1343,05-31-1343,06-07-1343,C,Date Computation
"If you add 42 weeks and 7 days to the date 08-12-1579, what will be the new date?",06-12-1580,06-13-1580,06-11-1580,06-08-1580,D,Date Computation
"If you add 19 weeks and 7 days to the date 04-30-1401, what will be the new date?",09-17-1401,09-21-1401,09-20-1401,09-22-1401,A,Date Computation
"If you add 44 weeks and 3 days to the date 02-26-1603, what will be the new date?",01-08-1604,01-03-1604,01-04-1604,01-05-1604,B,Date Computation
"If you add 48 weeks and 4 days to the date 11-06-1130, what will be the new date?",10-16-1131,10-13-1131,10-12-1131,10-15-1131,C,Date Computation
"If you subtract 17 weeks and 5 days to the date 08-25-1225, what will be the new date?",04-26-1225,04-23-1225,04-30-1225,04-29-1225,B,Date Computation
"If you add 24 weeks and 3 days to the date 02-24-1272, what will be the new date?",08-16-1272,08-18-1272,08-17-1272,08-13-1272,D,Date Computation
"If you add 21 weeks and 6 days to the date 01-12-1420, what will be the new date?",06-13-1420,06-18-1420,06-19-1420,06-20-1420,A,Date Computation
"If you subtract 32 weeks and 1 day to the date 02-21-1521, what will be the new date?",07-11-1520,07-14-1520,07-17-1520,07-18-1520,A,Date Computation
"If you subtract 29 weeks and 4 days to the date 10-11-1727, what will be the new date?",03-18-1727,03-23-1727,03-19-1727,03-24-1727,A,Date Computation
"If you subtract 29 weeks and 7 days to the date 05-10-1028, what will be the new date?",10-13-1027,10-14-1027,10-16-1027,10-18-1027,A,Date Computation
"If you subtract 10 weeks and 7 days to the date 10-05-1091, what will be the new date?",07-22-1091,07-20-1091,07-23-1091,07-25-1091,B,Date Computation
"If you add 41 weeks and 1 day to the date 05-18-1315, what will be the new date?",03-02-1316,03-03-1316,03-01-1316,03-05-1316,C,Date Computation
"If you subtract 21 weeks and 4 days to the date 03-24-1509, what will be the new date?",10-24-1508,10-28-1508,10-25-1508,10-26-1508,A,Date Computation
"If you add 19 weeks and 7 days to the date 04-08-1383, what will be the new date?",08-26-1383,08-31-1383,08-27-1383,09-02-1383,A,Date Computation
"If you subtract 29 weeks and 5 days to the date 09-02-1817, what will be the new date?",02-06-1817,02-09-1817,02-13-1817,02-10-1817,A,Date Computation
"If you add 17 weeks and 5 days to the date 11-15-1899, what will be the new date?",3/20/1900,3/26/1900,3/19/1900,3/21/1900,C,Date Computation
"If you subtract 46 weeks and 6 days to the date 11-13-1383, what will be the new date?",12-27-1382,12-21-1382,12-20-1382,12-22-1382,C,Date Computation
"If you add 29 weeks and 7 days to the date 04-14-1292, what will be the new date?",11-13-1292,11-15-1292,11-10-1292,11-11-1292,C,Date Computation
"If you subtract 33 weeks and 1 day to the date 08-06-1633, what will be the new date?",12-21-1632,12-22-1632,12-17-1632,12-20-1632,C,Date Computation
"If you subtract 6 weeks and 7 days to the date 08-05-1011, what will be the new date?",06-23-1011,06-19-1011,06-17-1011,06-21-1011,C,Date Computation
"If you add 45 weeks and 3 days to the date 10-25-1384, what will be the new date?",09-09-1385,09-14-1385,09-10-1385,09-08-1385,D,Date Computation
"If you add 28 weeks and 6 days to the date 10-04-1948, what will be the new date?",4/25/1949,4/24/1949,4/28/1949,4/26/1949,B,Date Computation
"If you subtract 18 weeks and 1 day to the date 03-14-1002, what will be the new date?",11-07-1001,11-13-1001,11-14-1001,11-12-1001,A,Date Computation
"If you subtract 39 weeks and 5 days to the date 08-14-1928, what will be the new date?",11/13/1927,11/11/1927,11/10/1927,11/14/1927,C,Date Computation
"If you subtract 45 weeks and 1 day to the date 03-13-1877, what will be the new date?",05-08-1876,05-02-1876,05-07-1876,05-01-1876,D,Date Computation
"If you add 13 weeks and 6 days to the date 08-22-1275, what will be the new date?",11-30-1275,12-03-1275,11-27-1275,11-29-1275,C,Date Computation
"If you add 28 weeks and 7 days to the date 09-19-1786, what will be the new date?",04-15-1787,04-17-1787,04-10-1787,04-14-1787,C,Date Computation
"If you subtract 9 weeks and 3 days to the date 01-30-1910, what will be the new date?",11/25/1909,11/30/1909,12/2/1909,11/26/1909,A,Date Computation
"If you add 33 weeks and 5 days to the date 03-23-1086, what will be the new date?",11-16-1086,11-20-1086,11-14-1086,11-18-1086,C,Date Computation
"If you add 16 weeks and 2 days to the date 10-12-1262, what will be the new date?",02-10-1263,02-06-1263,02-05-1263,02-03-1263,D,Date Computation
"If you add 3 weeks and 6 days to the date 01-16-1841, what will be the new date?",02-17-1841,02-15-1841,02-18-1841,02-12-1841,D,Date Computation
"If you subtract 44 weeks and 2 days to the date 03-17-1778, what will be the new date?",05-15-1777,05-11-1777,05-16-1777,05-12-1777,B,Date Computation
"If you add 23 weeks and 4 days to the date 07-04-1194, what will be the new date?",12-17-1194,12-16-1194,12-19-1194,12-21-1194,B,Date Computation
"If you add 27 weeks and 1 day to the date 01-17-1134, what will be the new date?",08-02-1134,07-26-1134,07-28-1134,07-30-1134,B,Date Computation
"If you subtract 16 weeks and 2 days to the date 12-16-1590, what will be the new date?",08-24-1590,08-28-1590,08-31-1590,08-25-1590,A,Date Computation
"If you add 11 weeks and 1 day to the date 07-26-1582, what will be the new date?",10-12-1582,10-19-1582,10-13-1582,10-16-1582,A,Date Computation
"If you add 21 weeks and 5 days to the date 09-27-1335, what will be the new date?",02-28-1336,03-03-1336,02-26-1336,03-01-1336,C,Date Computation
"If you add 29 weeks and 2 days to the date 11-01-1339, what will be the new date?",05-27-1340,05-28-1340,05-25-1340,05-24-1340,D,Date Computation
"If you subtract 31 weeks and 3 days to the date 02-05-1635, what will be the new date?",07-03-1634,06-30-1634,07-06-1634,07-02-1634,B,Date Computation
"If you subtract 10 weeks and 1 day to the date 03-10-1406, what will be the new date?",12-31-1405,12-29-1405,12-30-1405,01-05-1406,B,Date Computation
"If you add 1 weeks and 2 days to the date 09-18-1614, what will be the new date?",09-27-1614,09-29-1614,10-03-1614,10-04-1614,A,Date Computation
"If you subtract 13 weeks and 5 days to the date 12-23-1521, what will be the new date?",09-18-1521,09-24-1521,09-20-1521,09-25-1521,A,Date Computation
"If you subtract 17 weeks and 7 days to the date 06-20-1539, what will be the new date?",02-16-1539,02-18-1539,02-14-1539,02-17-1539,C,Date Computation
"If you add 1 weeks and 5 days to the date 06-04-1103, what will be the new date?",06-17-1103,06-21-1103,06-22-1103,06-16-1103,D,Date Computation
"If you subtract 25 weeks and 3 days to the date 02-22-1755, what will be the new date?",08-29-1754,09-01-1754,09-02-1754,08-28-1754,D,Date Computation
"If you add 29 weeks and 1 day to the date 07-31-1927, what will be the new date?",2/21/1928,2/23/1928,2/20/1928,2/25/1928,C,Date Computation
"If you add 1 weeks and 3 days to the date 01-30-1512, what will be the new date?",02-10-1512,02-16-1512,02-09-1512,02-11-1512,C,Date Computation
"If you add 47 weeks and 2 days to the date 11-04-1077, what will be the new date?",10-08-1078,10-04-1078,10-01-1078,10-02-1078,C,Date Computation
"If you subtract 4 weeks and 6 days to the date 11-25-1608, what will be the new date?",10-27-1608,10-29-1608,10-25-1608,10-22-1608,D,Date Computation
"If you subtract 48 weeks and 5 days to the date 06-26-1539, what will be the new date?",07-26-1538,07-20-1538,07-24-1538,07-23-1538,B,Date Computation
"If you add 3 weeks and 6 days to the date 07-29-1551, what will be the new date?",08-26-1551,08-25-1551,08-30-1551,08-27-1551,B,Date Computation
"If you add 25 weeks and 5 days to the date 09-01-1913, what will be the new date?",3/4/1914,2/28/1914,3/5/1914,3/2/1914,B,Date Computation
"If you subtract 9 weeks and 4 days to the date 01-28-1234, what will be the new date?",11-28-1233,11-27-1233,11-22-1233,11-26-1233,C,Date Computation
"If you add 18 weeks and 1 day to the date 11-07-1494, what will be the new date?",03-18-1495,03-16-1495,03-14-1495,03-17-1495,C,Date Computation
"If you subtract 5 weeks and 6 days to the date 11-23-1787, what will be the new date?",10-15-1787,10-13-1787,10-16-1787,10-19-1787,B,Date Computation
"If you add 41 weeks and 6 days to the date 06-30-1161, what will be the new date?",04-19-1162,04-25-1162,04-24-1162,04-21-1162,A,Date Computation
"If you add 39 weeks and 1 day to the date 04-09-1245, what will be the new date?",01-15-1246,01-13-1246,01-09-1246,01-08-1246,D,Date Computation
"If you subtract 19 weeks and 5 days to the date 10-08-1786, what will be the new date?",05-29-1786,05-27-1786,05-28-1786,05-23-1786,D,Date Computation
"If you subtract 46 weeks and 1 day to the date 01-24-1444, what will be the new date?",03-12-1443,03-14-1443,03-07-1443,03-09-1443,C,Date Computation
"If you add 11 weeks and 1 day to the date 05-20-1292, what will be the new date?",08-09-1292,08-11-1292,08-06-1292,08-08-1292,C,Date Computation
"If you subtract 49 weeks and 6 days to the date 08-04-1321, what will be the new date?",08-20-1320,08-24-1320,08-27-1320,08-21-1320,A,Date Computation
"If you add 36 weeks and 5 days to the date 11-05-2011, what will be the new date?",7/21/2012,7/25/2012,7/19/2012,7/20/2012,C,Date Computation
"If you subtract 5 weeks and 3 days to the date 06-26-1031, what will be the new date?",05-20-1031,05-19-1031,05-25-1031,05-26-1031,B,Date Computation
"If you subtract 32 weeks and 6 days to the date 04-14-1639, what will be the new date?",08-29-1638,09-01-1638,08-30-1638,08-27-1638,D,Date Computation
"If you add 49 weeks and 2 days to the date 09-23-1761, what will be the new date?",09-03-1762,09-09-1762,09-05-1762,09-06-1762,A,Date Computation
"If you add 16 weeks and 1 day to the date 10-12-1456, what will be the new date?",02-09-1457,02-02-1457,02-08-1457,02-04-1457,B,Date Computation
"If you add 30 weeks and 7 days to the date 10-08-1185, what will be the new date?",05-20-1186,05-15-1186,05-17-1186,05-13-1186,D,Date Computation
"If you add 4 weeks and 2 days to the date 10-07-1284, what will be the new date?",11-12-1284,11-09-1284,11-10-1284,11-06-1284,D,Date Computation
"If you subtract 14 weeks and 1 day to the date 01-15-1285, what will be the new date?",10-10-1284,10-15-1284,10-14-1284,10-08-1284,D,Date Computation
"If you add 21 weeks and 4 days to the date 03-10-1928, what will be the new date?",8/14/1928,8/8/1928,8/9/1928,8/13/1928,B,Date Computation
"If you add 36 weeks and 3 days to the date 04-19-1774, what will be the new date?",01-03-1775,01-05-1775,01-01-1775,12-30-1774,D,Date Computation
"If you subtract 10 weeks and 7 days to the date 07-15-1164, what will be the new date?",05-01-1164,04-29-1164,04-30-1164,05-02-1164,B,Date Computation
"If you add 10 weeks and 4 days to the date 09-25-1068, what will be the new date?",12-15-1068,12-12-1068,12-08-1068,12-11-1068,C,Date Computation
"If you add 39 weeks and 1 day to the date 09-06-1601, what will be the new date?",06-07-1602,06-08-1602,06-09-1602,06-10-1602,A,Date Computation
"If you add 7 weeks and 5 days to the date 10-03-1043, what will be the new date?",11-29-1043,11-26-1043,12-03-1043,11-28-1043,B,Date Computation
"If you add 6 weeks and 5 days to the date 10-17-1405, what will be the new date?",12-03-1405,12-08-1405,12-06-1405,12-09-1405,A,Date Computation
"If you add 49 weeks and 1 day to the date 07-18-1172, what will be the new date?",06-29-1173,06-30-1173,07-02-1173,06-27-1173,D,Date Computation
"If you add 21 weeks and 7 days to the date 04-05-1975, what will be the new date?",9/11/1975,9/10/1975,9/13/1975,9/6/1975,D,Date Computation
"If you add 26 weeks and 4 days to the date 11-19-1441, what will be the new date?",05-25-1442,05-28-1442,05-24-1442,05-26-1442,C,Date Computation
"If you add 41 weeks and 2 days to the date 10-15-1985, what will be the new date?",8/6/1986,8/5/1986,8/2/1986,7/31/1986,D,Date Computation
"If you subtract 20 weeks and 4 days to the date 10-10-1000, what will be the new date?",05-24-1000,05-26-1000,05-19-1000,05-23-1000,C,Date Computation
"If you add 40 weeks and 3 days to the date 02-28-1732, what will be the new date?",12-11-1732,12-12-1732,12-09-1732,12-07-1732,D,Date Computation
"If you add 41 weeks and 1 day to the date 10-18-1579, what will be the new date?",08-03-1580,08-01-1580,08-06-1580,08-04-1580,B,Date Computation
"If you add 43 weeks and 7 days to the date 10-17-1152, what will be the new date?",08-21-1153,08-27-1153,08-26-1153,08-25-1153,A,Date Computation
"If you add 51 weeks and 3 days to the date 06-02-1165, what will be the new date?",06-01-1166,05-28-1166,05-30-1166,05-29-1166,B,Date Computation
"If you subtract 34 weeks and 7 days to the date 02-07-1211, what will be the new date?",06-13-1210,06-11-1210,06-09-1210,06-07-1210,D,Date Computation
"If you subtract 38 weeks and 5 days to the date 05-18-1796, what will be the new date?",08-26-1795,08-23-1795,08-21-1795,08-22-1795,C,Date Computation
"If you subtract 15 weeks and 2 days to the date 12-15-1056, what will be the new date?",08-30-1056,08-31-1056,09-01-1056,09-06-1056,A,Date Computation
"If you subtract 8 weeks and 1 day to the date 01-31-1335, what will be the new date?",12-10-1334,12-12-1334,12-08-1334,12-05-1334,D,Date Computation
"If you add 33 weeks and 1 day to the date 01-27-1419, what will be the new date?",09-22-1419,09-16-1419,09-21-1419,09-20-1419,B,Date Computation
"If you add 40 weeks and 4 days to the date 09-22-1250, what will be the new date?",07-03-1251,07-04-1251,07-05-1251,07-06-1251,A,Date Computation
"If you add 40 weeks and 3 days to the date 11-20-1314, what will be the new date?",09-02-1315,09-04-1315,08-31-1315,08-30-1315,D,Date Computation
"If you add 10 weeks and 4 days to the date 12-07-1729, what will be the new date?",02-21-1730,02-26-1730,02-19-1730,02-20-1730,C,Date Computation
"If you add 7 weeks and 3 days to the date 06-12-1266, what will be the new date?",08-03-1266,08-07-1266,08-08-1266,08-04-1266,A,Date Computation
"If you add 39 weeks and 6 days to the date 07-04-1744, what will be the new date?",04-09-1745,04-10-1745,04-11-1745,04-14-1745,A,Date Computation
"If you subtract 34 weeks and 1 day to the date 02-13-1304, what will be the new date?",06-26-1303,06-25-1303,06-19-1303,06-24-1303,C,Date Computation
"If you subtract 15 weeks and 7 days to the date 05-27-1290, what will be the new date?",02-10-1290,02-11-1290,02-09-1290,02-04-1290,D,Date Computation
"If you subtract 41 weeks and 1 day to the date 07-08-1809, what will be the new date?",09-23-1808,09-24-1808,09-30-1808,09-28-1808,A,Date Computation
"If you subtract 26 weeks and 5 days to the date 08-26-1391, what will be the new date?",02-25-1391,02-20-1391,02-27-1391,02-23-1391,B,Date Computation
"If you subtract 38 weeks and 6 days to the date 08-25-1486, what will be the new date?",11-28-1485,11-29-1485,12-03-1485,11-26-1485,D,Date Computation
"If you add 15 weeks and 4 days to the date 09-15-1602, what will be the new date?",01-04-1603,01-02-1603,01-05-1603,01-07-1603,B,Date Computation
"If you add 30 weeks and 2 days to the date 02-26-1541, what will be the new date?",09-26-1541,09-27-1541,10-03-1541,09-30-1541,A,Date Computation
"If you add 52 weeks and 2 days to the date 03-21-1689, what will be the new date?",03-28-1690,03-25-1690,03-22-1690,03-27-1690,C,Date Computation
"If you add 13 weeks and 3 days to the date 02-04-1995, what will be the new date?",5/14/1995,5/15/1995,5/12/1995,5/9/1995,D,Date Computation
"If you subtract 36 weeks and 3 days to the date 04-30-1487, what will be the new date?",08-20-1486,08-22-1486,08-18-1486,08-21-1486,C,Date Computation
"If you add 1 weeks and 2 days to the date 02-28-1894, what will be the new date?",03-09-1894,03-11-1894,03-15-1894,03-16-1894,A,Date Computation
"If you add 49 weeks and 4 days to the date 07-17-1205, what will be the new date?",07-03-1206,07-02-1206,06-29-1206,07-06-1206,C,Date Computation
"If you subtract 17 weeks and 2 days to the date 01-31-1005, what will be the new date?",10-08-1004,10-04-1004,10-02-1004,10-09-1004,C,Date Computation
"If you subtract 32 weeks and 5 days to the date 02-03-1579, what will be the new date?",06-22-1578,06-20-1578,06-24-1578,06-19-1578,D,Date Computation
"If you subtract 35 weeks and 1 day to the date 02-08-1975, what will be the new date?",6/11/1974,6/8/1974,6/14/1974,6/7/1974,D,Date Computation
"If you subtract 51 weeks and 1 day to the date 09-23-1440, what will be the new date?",10-01-1439,10-02-1439,10-08-1439,10-03-1439,A,Date Computation
"If you add 50 weeks and 2 days to the date 03-18-1865, what will be the new date?",03-10-1866,03-12-1866,03-09-1866,03-05-1866,D,Date Computation
"If you subtract 24 weeks and 1 day to the date 11-08-1834, what will be the new date?",05-23-1834,05-25-1834,05-29-1834,05-27-1834,A,Date Computation
"If you add 27 weeks and 1 day to the date 02-11-1791, what will be the new date?",08-25-1791,08-20-1791,08-27-1791,08-26-1791,B,Date Computation
"If you subtract 28 weeks and 7 days to the date 07-18-1581, what will be the new date?",01-03-1581,01-01-1581,12-31-1580,12-27-1580,D,Date Computation
"If you add 21 weeks and 5 days to the date 06-01-1315, what will be the new date?",11-07-1315,10-31-1315,11-04-1315,11-02-1315,B,Date Computation
"If you subtract 21 weeks and 4 days to the date 03-06-1503, what will be the new date?",10-09-1502,10-06-1502,10-12-1502,10-13-1502,B,Date Computation
"If you add 4 weeks and 3 days to the date 04-26-1672, what will be the new date?",06-01-1672,05-27-1672,05-31-1672,05-29-1672,B,Date Computation
"If you add 39 weeks and 7 days to the date 11-23-1917, what will be the new date?",8/30/1918,9/1/1918,9/2/1918,9/3/1918,A,Date Computation
"If you add 12 weeks and 7 days to the date 07-16-1942, what will be the new date?",10/18/1942,10/20/1942,10/15/1942,10/17/1942,C,Date Computation
"If you subtract 24 weeks and 1 day to the date 11-11-1492, what will be the new date?",06-01-1492,05-26-1492,05-31-1492,05-27-1492,B,Date Computation
"If you add 13 weeks and 6 days to the date 12-07-1814, what will be the new date?",03-14-1815,03-20-1815,03-19-1815,03-21-1815,A,Date Computation
"If you subtract 25 weeks and 3 days to the date 10-06-1867, what will be the new date?",04-12-1867,04-16-1867,04-11-1867,04-14-1867,C,Date Computation
"If you subtract 4 weeks and 2 days to the date 12-26-1662, what will be the new date?",11-26-1662,12-01-1662,11-28-1662,11-29-1662,A,Date Computation
"If you add 12 weeks and 2 days to the date 04-17-1770, what will be the new date?",07-12-1770,07-19-1770,07-17-1770,07-13-1770,A,Date Computation
"If you add 38 weeks and 4 days to the date 10-24-1877, what will be the new date?",07-21-1878,07-22-1878,07-27-1878,07-24-1878,A,Date Computation
"If you subtract 15 weeks and 6 days to the date 02-05-1769, what will be the new date?",10-18-1768,10-24-1768,10-17-1768,10-23-1768,C,Date Computation
"If you add 34 weeks and 7 days to the date 05-11-1398, what will be the new date?",01-17-1399,01-13-1399,01-16-1399,01-11-1399,D,Date Computation
"If you subtract 2 weeks and 4 days to the date 08-05-1858, what will be the new date?",07-24-1858,07-18-1858,07-19-1858,07-21-1858,B,Date Computation
"If you add 18 weeks and 5 days to the date 06-24-1420, what will be the new date?",11-08-1420,11-09-1420,11-02-1420,11-06-1420,C,Date Computation
"If you add 42 weeks and 6 days to the date 07-08-1997, what will be the new date?",5/11/1998,5/4/1998,5/8/1998,5/7/1998,B,Date Computation
"If you add 17 weeks and 2 days to the date 10-23-1442, what will be the new date?",02-28-1443,02-21-1443,02-26-1443,02-24-1443,B,Date Computation
"If you subtract 1 weeks and 4 days to the date 01-11-1729, what will be the new date?",01-06-1729,01-03-1729,01-02-1729,12-31-1728,D,Date Computation
"If you add 16 weeks and 1 day to the date 09-25-1237, what will be the new date?",01-16-1238,01-21-1238,01-19-1238,01-22-1238,A,Date Computation
"If you add 10 weeks and 1 day to the date 07-08-1462, what will be the new date?",09-17-1462,09-23-1462,09-24-1462,09-19-1462,A,Date Computation
"If you subtract 22 weeks and 4 days to the date 05-24-1347, what will be the new date?",12-24-1346,12-23-1346,12-20-1346,12-17-1346,D,Date Computation
"If you subtract 9 weeks and 7 days to the date 01-15-1308, what will be the new date?",11-06-1307,11-13-1307,11-10-1307,11-07-1307,A,Date Computation
"If you add 50 weeks and 4 days to the date 10-23-1494, what will be the new date?",10-15-1495,10-17-1495,10-12-1495,10-14-1495,C,Date Computation
"If you add 39 weeks and 5 days to the date 06-28-1007, what will be the new date?",04-08-1008,04-04-1008,04-06-1008,04-01-1008,D,Date Computation
"If you subtract 36 weeks and 2 days to the date 10-03-1199, what will be the new date?",01-22-1199,01-28-1199,01-27-1199,01-26-1199,A,Date Computation
"If you add 3 weeks and 4 days to the date 11-06-1232, what will be the new date?",12-06-1232,12-05-1232,12-01-1232,12-02-1232,C,Date Computation
"If you subtract 45 weeks and 2 days to the date 08-23-1796, what will be the new date?",10-12-1795,10-11-1795,10-15-1795,10-13-1795,B,Date Computation
"If you subtract 12 weeks and 2 days to the date 01-26-1254, what will be the new date?",11-01-1253,11-06-1253,11-03-1253,11-07-1253,A,Date Computation
"If you add 20 weeks and 2 days to the date 06-17-1409, what will be the new date?",11-10-1409,11-12-1409,11-06-1409,11-11-1409,C,Date Computation
"If you subtract 26 weeks and 2 days to the date 08-04-1212, what will be the new date?",02-04-1212,02-02-1212,02-03-1212,02-05-1212,B,Date Computation
"If you subtract 5 weeks and 6 days to the date 01-12-1947, what will be the new date?",12/8/1946,12/7/1946,12/2/1946,12/3/1946,C,Date Computation
"If you subtract 11 weeks and 1 day to the date 08-19-1682, what will be the new date?",06-05-1682,06-04-1682,06-06-1682,06-02-1682,D,Date Computation
"If you add 10 weeks and 7 days to the date 05-14-1568, what will be the new date?",08-04-1568,08-05-1568,07-31-1568,07-30-1568,D,Date Computation
"If you subtract 35 weeks and 6 days to the date 10-08-1226, what will be the new date?",01-30-1226,02-02-1226,01-31-1226,02-05-1226,A,Date Computation
"If you subtract 51 weeks and 7 days to the date 05-15-1602, what will be the new date?",05-20-1601,05-22-1601,05-18-1601,05-16-1601,D,Date Computation
"If you subtract 48 weeks and 7 days to the date 03-31-1400, what will be the new date?",04-26-1399,04-28-1399,04-27-1399,04-22-1399,D,Date Computation
"If you add 17 weeks and 1 day to the date 11-26-1111, what will be the new date?",03-27-1112,03-25-1112,03-29-1112,04-01-1112,B,Date Computation
"If you subtract 12 weeks and 1 day to the date 03-22-1020, what will be the new date?",12-28-1019,01-04-1020,12-31-1019,01-03-1020,A,Date Computation
"If you add 36 weeks and 5 days to the date 11-04-1009, what will be the new date?",07-21-1010,07-24-1010,07-20-1010,07-19-1010,D,Date Computation
